article_url,source_name,published_at,title,summary
https://www.reuters.com/world/us/us-dockworkers-port-employers-reach-tentative-agreement-2025-01-09/,Seed,2025-01-09,"Second US port strike averted as union, employers reach deal","Port labor risk narrowly avoided; highlights vulnerability of inbound parts/vehicles to dockworker actions."
https://www.reuters.com/business/autos-transportation/car-plants-europe-n-america-face-closures-2025-gartner-says-report-2025-01-16/,Seed,2025-01-16,"Car plants in Europe, North America face closures in 2025","Capacity rationalization and shifting production footprints disrupt supplier networks and lead times."
https://www.reuters.com/business/autos-transportation/automakers-warn-that-trump-tariffs-will-hike-some-vehicle-prices-by-much-25-2025-03-04/,Seed,2025-03-04,"Automakers warn tariffs could hike vehicle prices up to 25%","Trade policy shock can scramble sourcing and raise part/vehicle costs with knock-on demand impacts."
https://www.reuters.com/world/americas/panama-canal-traffic-fell-337-ships-per-day-march-authority-says-2025-04-10/,Seed,2025-04-10,"Panama Canal traffic below maximum; drought after-effects linger","Transit slot constraints and delays affect shipping schedules for auto parts and finished vehicles."
https://www.reuters.com/business/autos-transportation/us-auto-industry-warns-new-auto-parts-tariffs-will-hike-prices-cut-sales-2025-04-22/,Seed,2025-04-22,"US auto industry warns new auto parts tariffs will hike prices","Domino risk: tariffs drive cost inflation, supplier stress, and forced sourcing changes."
https://www.reuters.com/business/world-at-work/fords-germany-workers-strike-cologne-plants-2025-05-12/,Seed,2025-05-12,"Ford's Germany workers to strike at Cologne plants","Labor disruption risk at OEM facilities impacts output and upstream supplier pull."
https://www.reuters.com/business/world-at-work/workers-strike-protest-against-job-cuts-ford-germany-2025-05-14/,Seed,2025-05-14,"Workers strike in protest against job cuts at Ford Germany","Extended labor action risk; potential schedule instability and supplier order variability."
https://www.reuters.com/world/us/us-manufacturing-remains-subdued-may-delivery-times-lengthening-2025-06-02/,Seed,2025-06-02,"US delivery times lengthening amid tariffs","Supplier lead-time elongation signals potential shortages and schedule risk."
https://www.reuters.com/business/autos-transportation/auto-companies-face-shortages-due-chinas-rare-earth-restrictions-2025-06-05/,Seed,2025-06-05,"Auto companies face shortages due to China's rare earth restrictions","Materials chokepoint for EV motors and components; production curtailment risk."
https://www.reuters.com/markets/commodities/suzuki-motor-halted-swift-car-production-due-chinas-rare-earth-curb-nikkei-says-2025-06-05/,Seed,2025-06-05,"Suzuki halted Swift production due to rare earth curbs","Confirmed production stoppage tied to rare earth-linked components; direct OEM impact."
https://www.reuters.com/business/autos-transportation/worlds-auto-supply-chain-is-hands-few-chinese-bureaucrats-2025-06-05/,Seed,2025-06-06,"Auto supply chain exposed to Chinese export approval decisions","Single-policy chokepoint risk for magnets/minerals; highlights systemic fragility."
https://www.reuters.com/business/autos-transportation/britains-jlr-hit-by-cyber-incident-that-disrupts-production-sales-2025-09-02/,Seed,2025-09-02,"JLR hit by cybersecurity incident disrupting production","Operational disruption risk; cyber as supply chain shock."
https://www.reuters.com/en/jlrs-uk-factory-stoppage-cyber-attack-stretches-three-weeks-2025-09-16/,Seed,2025-09-16,"JLR factory stoppage from cyberattack stretches to weeks","Extended downtime cascades to Tier-1/Tier-2 suppliers and logistics."
https://www.reuters.com/business/retail-consumer/uks-jaguar-land-rover-cyber-attack-shutdown-hit-four-weeks-2025-09-23/,Seed,2025-09-23,"JLR cyberattack shutdown expected to hit four weeks","Duration guidance enables delay estimates and severity calibration."
https://apnews.com/article/jaguar-land-rover-cyberattack-shutdown-46fb6fa68b2eb611ff8fc7dac4cd5aec,Seed,2025-09-23,"JLR shutdown to continue until at least Oct 1 after cyberattack","Third-party confirmation of cyber disruption timeline and supplier ripple effects."
https://www.reuters.com/world/us/fire-ford-supplier-set-disrupt-business-months-wsj-reports-2025-10-06/,Seed,2025-10-06,"Fire at Ford supplier set to disrupt business for months","Supplier incident -> constrained material availability and sustained production risk."
https://www.reuters.com/business/autos-transportation/fire-aluminum-plant-hit-fords-bottom-line-by-up-1-billion-analyst-says-2025-10-08/,Seed,2025-10-08,"Fire at aluminum plant to hit Ford by up to $1B","Direct $ exposure signal; disruption expected to last months."
https://www.reuters.com/business/autos-transportation/ford-f-150-lightning-plant-hit-by-aluminum-fire-related-shutdown-union-official-2025-10-08/,Seed,2025-10-08,"Ford F-150 Lightning plant hit by fire-related shutdown","Real production pause; validates impact severity and delay assumptions."
https://www.reuters.com/business/autos-transportation/automaker-group-warns-nexperia-chip-supply-issue-could-quickly-disrupt-us-2025-10-17/,Seed,2025-10-16,"Automaker group warns Nexperia chip issue could disrupt U.S.","Chip allocation risk with near-term production impact potential."
https://www.reuters.com/business/autos-transportation/nissan-mercedes-sound-alarm-over-chip-supply-crisis-2025-10-29/,Seed,2025-10-29,"Automakers hunt for chips as crisis deepens","Semiconductor shortage risk; triggers redesign/substitution and scheduling disruptions."
https://www.reuters.com/business/autos-transportation/automakers-face-higher-costs-us-port-fees-car-carrier-wallenius-wilhelmsen-warns-2025-11-05/,Seed,2025-11-05,"Automakers face higher costs from U.S. port fees","Logistics cost shock; could reroute volumes and affect delivery times."
https://www.reuters.com/business/autos-transportation/volkswagen-says-nexperia-chip-supply-has-resumed-2025-11-07/,Seed,2025-11-07,"VW says Nexperia chip supply has resumed","Partial recovery signal; useful for trend normalization and mitigation effectiveness."
https://www.reuters.com/business/car-parts-supplier-aumovio-narrows-2025-sales-guidance-2025-11-07/,Seed,2025-11-07,"Aumovio secures exemptions; chip shipments resume","Supply relief via export exemptions; supports probability and time-sensitivity logic."
https://www.reuters.com/world/china/volkswagen-has-secured-chip-supply-now-brand-boss-says-2025-11-18/,Seed,2025-11-18,"VW says chip supply secured for now","Status update; helps track risk decay after acute shock."
https://www.reuters.com/world/another-fire-ignites-ford-aluminum-supplier-novelis-2025-11-20/,Seed,2025-11-20,"Another fire ignites at Ford aluminum supplier Novelis","Repeat incident risk; raises probability and exposure for affected materials."
https://www.reuters.com/business/autos-transportation/how-nexperia-chip-crisis-upended-auto-supply-chains-again-2025-11-24/,Seed,2025-11-24,"How the Nexperia chip crisis upended auto supply chains","Systemic chip chokepoint narrative; helps calibrate severity scoring."
https://www.reuters.com/business/continental-plans-up-1500-additional-job-cuts-source-says-2025-11-24/,Seed,2025-11-24,"Continental plans additional job cuts","Supplier capacity/restructuring risk; potential lead-time and service-level impacts."
https://www.reuters.com/world/uk/uks-october-car-output-falls-24-impact-jlr-cyberattack-lingers-2025-11-28/,Seed,2025-11-28,"UK car output falls as JLR cyberattack impact lingers","Measured production impact; validates earlier disruption severity."
https://www.reuters.com/business/autos-transportation/major-automakers-say-china-poses-clear-present-threat-us-auto-industry-2025-12-11/,Seed,2025-12-11,"Automakers warn China poses 'clear and present threat'","Geopolitical/systemic risk framing; supports political risk category signals."
https://www.reuters.com/world/middle-east/what-are-shipping-companies-plans-return-suez-canal-2025-12-19/,Seed,2025-12-19,"Shipping companies' plans for return to Suez","Trade lane stability affects lead times/costs for parts moving Asia<->Europe/US."
https://www.reuters.com/business/energy/maersk-navigates-red-sea-route-again-gaza-ceasefire-holds-2026-01-12/,Seed,2026-01-12,"Maersk navigates Red Sea route again as ceasefire holds","Route normalization signal; useful for risk trend decay and mitigation tracking."
https://www.reuters.com/world/middle-east/maersk-resume-suez-canal-sailings-mecl-service-2026-01-15/,Seed,2026-01-15,"Maersk to resume Suez Canal sailings for MECL service","Structured return reduces transit variability; useful for operational risk trend adjustments."
https://www.reuters.com/business/bosch-miss-sales-earnings-targets-manager-magazin-reports-2026-01-15/,Seed,2026-01-15,"Bosch to miss targets; restructuring pressure","Supplier financial stress indicator; risk of capacity cuts and delivery performance issues."
https://apnews.com/article/ace06d7b7b268658dc4dcd1b5127227b,Seed,2026-01-15,"Dutch court hears Nexperia mismanagement case affecting autos","Governance/political dispute driving semiconductor disruption and production volatility."
https://www.ft.com/content/bb384dae-e927-469e-bd7f-c82b7760b9f5,Seed,2026-01-14,"Carmakers find workaround for Nexperia chip shortage","Mitigation behavior example: alternative procurement/processing to restore supply."
https://www.reuters.com/business/continentals-contitech-division-close-four-plants-germany-2025-01-30/,Seed,2025-01-30,"Continental ContiTech to close four plants in Germany","Restructuring and site closures create supply continuity risk for specific product lines."
